Kola, 15.06.2023, 20.10.2023, 200g, 50, 15TL
Fanta, 15.06.2023, 20.10.2023, 200g, 50, 15TL
Sprite, 15.06.2023, 20.10.2023, 200g, 50, 15TL
Limonata, 6.08.2023, 20.10.2023, 110g, 25, 15TL
Ayran, 6.08.2023, 20.10.2023, 110g, 25, 10TL
Şalgam, 6.08.2023, 20.10.2023, 110g, 25, 10TL
Soğan, 4.08.2023, 12.08.2023, 45g, 300, 10TL
Salatalık, 4.08.2023, 12.08.2023, 45g, 300, 10TL
Mısır, 4.08.2023, 12.08.2023, 45g, 300, 10TL
Marul, 4.08.2023, 12.08.2023, 45g, 250, 10TL
Tavuk, 4.08.2023, 12.08.2023, 200g, 250, 30TL
Bezelye, 4.08.2023, 12.08.2023, 200g, 25, 25TL
Yoğurt, 4.08.2023, 12.08.2023, 200g, 25, 25TL
Mayonez, 4.08.2023, 12.08.2023, 200g, 250, 25TL
Havuç, 4.08.2023, 12.08.2023, 200g, 250, 25TL
Üzüm Yaprağı, 4.08.2023, 12.08.2023, 20g, 2500, 25TL
Bulgur, 4.08.2023, 12.08.2023, 20g, 300, 25TL
Patlıcan, 4.08.2023, 12.08.2023, 20g, 300, 25TL
Biber, 4.08.2023, 12.08.2023, 20g, 300, 25TL
Kabak, 4.08.2023, 12.08.2023, 20g, 300, 25TL
Kıyma, 4.08.2023, 12.08.2023, 20g, 300, 25TL
Patates, 4.08.2023, 12.08.2023, 20g, 300, 25TL
Tereyağı, 4.08.2023, 12.08.2023, 20g, 300, 25TL
Kahve, 4.08.2023, 12.08.2023, 20g, 300, 25TL
Un, 4.08.2023, 12.08.2023, 250g, 300, 25TL
Şeker, 4.08.2023, 12.08.2023, 250g, 300, 25TL
Yufka, 4.08.2023, 12.08.2023, 250g, 350, 25TL
Fıstık, 4.08.2023, 12.08.2023, 250g, 350, 25TL
Elma, 4.08.2023, 12.08.2023, 250g, 350, 25TL
Armut, 4.08.2023, 12.08.2023, 250g, 350, 25TL
Portakal, 4.08.2023, 12.08.2023, 250g, 350, 25TL
Üzüm, 4.08.2023, 12.08.2023, 250g, 350, 25TL
Ananas, 4.08.2023, 12.08.2023, 250g, 350, 25TL
Karpuz, 4.08.2023, 12.08.2023, 250g, 350, 25TL
